ID;Название;Бренд;Цена со скидкой;Цена без скидки;Рейтинг;Количество отзывов;Ссылка
166791360;Мыло для лап собак и кошек, с хлоргексидином, 1л;Spets;;882.0;4.9;9238;https://www.wildberries.ru/catalog/166791360/detail.aspx
284824272;Машинка для стрижки собак и кошек;GTVMarket;;4851.0;4.9;3491;https://www.wildberries.ru/catalog/284824272/detail.aspx
165756636;Гель мыло для мытья лап собак и кошек с хлоргексидином,500мл;Spets;;927.0;4.9;6363;https://www.wildberries.ru/catalog/165756636/detail.aspx
447499041;Поводок для собак брезентовый 5 м х 25 мм усиленный зеленый;Dog's Paradise;;882.0;4.9;5077;https://www.wildberries.ru/catalog/447499041/detail.aspx
438730671;Триммер для стрижки собак и кошек;GTVMarket;;2594.0;4.9;3491;https://www.wildberries.ru/catalog/438730671/detail.aspx
232372375;Комплект электропастуха 1000м для КРС и лошадей 2Дж;DOLLY;;31000.0;4.9;80;https://www.wildberries.ru/catalog/232372375/detail.aspx
88895316;Машинка для стрижки собак и кошек;DOGWAY;;5265.0;4.8;3298;https://www.wildberries.ru/catalog/88895316/detail.aspx
360083777;Пуходерка для кошек расческа для собак от шерсти;MUSTHAVE PET;;509.0;4.9;1831;https://www.wildberries.ru/catalog/360083777/detail.aspx
404421493;Лезвие машинки для стрижки животных;GTVMarket;;1777.0;4.9;3496;https://www.wildberries.ru/catalog/404421493/detail.aspx
901229246;Зарядный кабель для машинки для стрижки животных;GTVMarket;;1549.0;4.9;3491;https://www.wildberries.ru/catalog/901229246/detail.aspx
413898983;Машинка для стрижки собак и кошек;GTVMarket;;4833.0;4.9;3496;https://www.wildberries.ru/catalog/413898983/detail.aspx
360089587;Пуходерка для кошек расческа для собак от шерсти;MUSTHAVE PET;;509.0;4.9;834;https://www.wildberries.ru/catalog/360089587/detail.aspx
446755265;Машинка для стрижки собак и кошек;GTVMarket;;4888.0;4.9;3496;https://www.wildberries.ru/catalog/446755265/detail.aspx
447499040;Поводок для собак брезентовый 5 м х 25 мм усиленный черный;Dog's Paradise;;882.0;4.9;5074;https://www.wildberries.ru/catalog/447499040/detail.aspx
215155902;Алезан гель охлаждающе-разогревающий 100 мл;АВЗ;;737.0;4.9;390;https://www.wildberries.ru/catalog/215155902/detail.aspx
113398314;Сумка для лакомств;КиНпроф;;1475.0;4.9;228;https://www.wildberries.ru/catalog/113398314/detail.aspx
5058529;Нейтрализатор запаха мочи собак и кошек для животных;Лайна;;1870.0;4.9;4954;https://www.wildberries.ru/catalog/5058529/detail.aspx
8711641;Гель двойного действия охлаждающе-разогревающий 250 мл;veda;;695.0;4.9;2454;https://www.wildberries.ru/catalog/8711641/detail.aspx
182408797;Гель охлаждающе-разогревающий с камфорой и ментолом 100 мл;veda;;377.0;4.9;1607;https://www.wildberries.ru/catalog/182408797/detail.aspx
208314775;Пояс юбка для дрессировки и лакомств;aminori;;3700.0;4.9;433;https://www.wildberries.ru/catalog/208314775/detail.aspx
5058531;Нейтрализатор запаха мочи собак и кошек для животных;Лайна;;2740.0;4.9;4909;https://www.wildberries.ru/catalog/5058531/detail.aspx
467549331;Ветеринарный шприц вакцинатор для животных 0,5-5 мл;Youmu;;1925.0;4.9;540;https://www.wildberries.ru/catalog/467549331/detail.aspx
228398224;Ножницы для стрижки овец;ATTools;;628.0;4.9;436;https://www.wildberries.ru/catalog/228398224/detail.aspx
859469682;Краска для шерсти животных, розовая;;;2546.0;3;2;https://www.wildberries.ru/catalog/859469682/detail.aspx
158614572;Спрей от зуда собак и кошек и шелушения Skin Balance;SILVERIA;;1600.0;4.7;6501;https://www.wildberries.ru/catalog/158614572/detail.aspx
271487591;Колокольчики для лошади;X-Time;;2000.0;4.2;43;https://www.wildberries.ru/catalog/271487591/detail.aspx
200385103;Изоляторы электропастуха для стеклопластиковой арматуры;Статик-3М;;2087.0;5;612;https://www.wildberries.ru/catalog/200385103/detail.aspx
539862139;Бутылка с соской поилка для кормления телят, 2 л;;;760.0;4.9;418;https://www.wildberries.ru/catalog/539862139/detail.aspx
308572259;Шнур для электропастуха 1000м;Kaas;;2400.0;4.9;336;https://www.wildberries.ru/catalog/308572259/detail.aspx
223399186;Изолятор для электропастуха для стеклопластиковой арматуры;;;2300.0;4.9;383;https://www.wildberries.ru/catalog/223399186/detail.aspx
386411393;Кинологический жилет для дрессировки собак;Lucky Puppy;;8000.0;4.9;83;https://www.wildberries.ru/catalog/386411393/detail.aspx
276489040;Шнур ограждения для электропастуха 500 м, 3*0,16;БТНК;;1538.0;5;275;https://www.wildberries.ru/catalog/276489040/detail.aspx
32265713;Машинка для стрижки животных проводная;woof House;;10000.0;4.8;2965;https://www.wildberries.ru/catalog/32265713/detail.aspx
169384896;Влажные салфетки для ушей для животных;kimpets;;1450.0;4.9;4684;https://www.wildberries.ru/catalog/169384896/detail.aspx
174601762;Ворота для электропастуха;DOLLY;;2501.0;4.9;827;https://www.wildberries.ru/catalog/174601762/detail.aspx
166502454;Расческа скребок для собак гладкошерстных;MOONBLUE HOME;;1096.0;4.8;2152;https://www.wildberries.ru/catalog/166502454/detail.aspx
